OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,convert_color,gaussian_blur,sobel,convert_scale,sobel2,conver_scale2,add_weighted,show_img
0,0,0.02893662,1.6167e-05,0.006994405,0.004497576,0.008561403,0.000979498,0.002543413,0.000919748,0.002556329,0.000621083,0.001246997
1,0.02893662,0.02218963,1e-06,0.006761323,0.000439582,0.008314154,0.000514832,0.002288163,0.000536832,0.002273663,0.000580333,0.000479749
2,0.05112625,0.03330511,2.334e-06,0.01425081,0.000929332,0.01064657,0.000496666,0.002804578,0.0005585,0.002485329,0.000600082,0.000530916
3,0.08443136,0.02404505,1.167e-06,0.007302488,0.000472833,0.008808652,0.000512833,0.002916828,0.000651749,0.002475496,0.000579832,0.000323167
4,0.1084764,0.02175172,1.75e-06,0.006478406,0.000515166,0.008459653,0.000396749,0.00225958,0.000419749,0.002264913,0.000586916,0.000368833
5,0.1302281,0.02165397,1.334e-06,0.006341073,0.000491082,0.00854632,0.000405999,0.002261746,0.000448583,0.002236996,0.000574249,0.000346583
6,0.1518821,0.02172221,1.667e-06,0.006464656,0.000559832,0.00864582,0.000320082,0.00223783,0.000348416,0.002246247,0.000575665,0.000322
7,0.1736043,0.02223846,1.25e-06,0.006908739,0.000414666,0.008703486,0.000421082,0.002291496,0.000358667,0.002238163,0.000585165,0.00031575
8,0.1958428,0.02375113,1.167e-06,0.008636903,0.000446999,0.008495653,0.000319083,0.002236496,0.000355833,0.002250246,0.000681166,0.000327582
9,0.2195939,0.0223793,1.25e-06,0.007140739,0.000499582,0.00863807,0.000329249,0.002232246,0.000349583,0.002292997,0.000575999,0.000319582
10,0.2419732,0.02471329,1.167e-06,0.009264818,0.000818499,0.008427569,0.00031875,0.002378913,0.000366499,0.00223658,0.000574166,0.000326332
11,0.2666865,0.0292542,1.167e-06,0.008815652,0.002728246,0.008643986,0.000328582,0.005067575,0.000518083,0.002248413,0.000574749,0.000327749
12,0.2959407,0.02542029,1.167e-06,0.009236568,0.00184558,0.008114237,0.000312666,0.00241708,0.000356832,0.00223808,0.000585666,0.000312416
13,0.321361,0.02750462,1.083e-06,0.009023986,0.001110748,0.008694152,0.000330083,0.002235246,0.000349583,0.002240663,0.003156912,0.000362166
14,0.3488656,0.02793387,1.333e-06,0.008982985,0.001285332,0.008394986,0.000327916,0.002235413,0.000349499,0.002315913,0.002665496,0.001374998
15,0.3767995,0.02566687,1.083e-06,0.006564656,0.001368665,0.01147298,0.000358416,0.00224308,0.000384749,0.00224858,0.000577249,0.000447416
16,0.4024663,0.02634796,1.25e-06,0.006630073,0.000960332,0.008086653,0.00031675,0.006685155,0.000410583,0.002363663,0.000578082,0.000315416
17,0.4288143,0.02601612,1.083e-06,0.01009573,0.001373414,0.008491903,0.000320416,0.002238913,0.000361333,0.002235246,0.000586166,0.000311916
18,0.4548304,0.02488513,1.25e-06,0.008621736,0.001414248,0.008692402,0.0003295,0.002342829,0.000353667,0.002243163,0.000574082,0.000312249
19,0.4797156,0.02447238,1.417e-06,0.008730986,0.001306248,0.008268403,0.000327416,0.002236413,0.00035325,0.002236913,0.000583832,0.000427499
20,0.5041879,0.02464413,1e-06,0.009222152,0.000832749,0.008514069,0.000328999,0.002237247,0.000351166,0.002247413,0.000593832,0.0003155
21,0.5288321,0.02443813,1.334e-06,0.008701402,0.001294415,0.008271153,0.000333249,0.002231747,0.000355249,0.002357913,0.000577416,0.000314249
22,0.5532702,0.02478788,1e-06,0.009366735,0.000824749,0.008392319,0.00032075,0.002359246,0.000385999,0.002240413,0.000583583,0.000313083
23,0.5780581,0.02502271,1.084e-06,0.009183818,0.001264248,0.00852682,0.000328916,0.002236163,0.000348749,0.002238997,0.000584582,0.000309333
24,0.6030808,0.02486529,1e-06,0.008847736,0.001195581,0.008636486,0.000317,0.002234913,0.000387416,0.002339663,0.000588499,0.000316999
25,0.6279461,0.02523071,1.083e-06,0.009180235,0.001706997,0.008089987,0.000313083,0.002442163,0.000357833,0.002243913,0.000582499,0.000312916
26,0.6531768,0.02470613,1.334e-06,0.008627236,0.001403664,0.008239653,0.000315583,0.002628496,0.000354999,0.00224233,0.000582416,0.000310416
27,0.6778829,0.02535704,1.25e-06,0.009566651,0.001271581,0.008136987,0.00035275,0.002535912,0.00035425,0.002237996,0.000585332,0.000314333
28,0.7032399,0.02445863,1.25e-06,0.008575819,0.001290582,0.008373819,0.000327416,0.002237997,0.000351999,0.002398413,0.000575582,0.00032575
29,0.7276986,0.02456488,1e-06,0.008769402,0.001280415,0.008348986,0.000317083,0.002235663,0.000478666,0.002232663,0.000575832,0.000325166
30,0.7522634,0.02490804,1.167e-06,0.009240401,0.001225998,0.008377653,0.000321917,0.002241913,0.000356166,0.002236913,0.000593999,0.000311916
31,0.7771715,0.02477371,1.083e-06,0.008695403,0.001365247,0.008608236,0.000319333,0.002240663,0.000362083,0.002280246,0.000587749,0.000313666
32,0.8019452,0.02558288,1.416e-06,0.009477985,0.001309831,0.008228153,0.0003215,0.002245913,0.000368749,0.002729496,0.000586832,0.000313
