OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,convert_scale,sobel2,convert_scale2,add_weighted,gpu_frame_download,show_img
0,0,0.4439322,4.416e-06,0.1787908,1.084e-06,0.02885496,0.04882476,0.03316787,0.04021802,0.01242781,0.04608868,0.01160681,0.008329321,0.0123374,0.0232803
1,0.4439322,0.3803164,1.167e-06,0.2066944,1.083e-06,0.02817671,0.02139663,0.0416436,0.0294692,0.01000599,0.01735197,0.007420489,0.004547743,0.006614073,0.006993323
2,0.8242487,0.3293627,1.25e-06,0.1843353,9.16e-07,0.02607163,0.02151122,0.02628446,0.01940905,0.008072321,0.01540598,0.009225736,0.003930161,0.007958071,0.007156656
3,1.153611,0.3146434,1.167e-06,0.1829806,1e-06,0.0212358,0.02112522,0.0213883,0.01759697,0.007596905,0.01775797,0.007327572,0.004529826,0.005752908,0.007349156
4,1.468255,0.3857964,1.333e-06,0.1848866,1.083e-06,0.02871979,0.0728708,0.02846737,0.02188713,0.007322739,0.01645439,0.007078655,0.004258994,0.005736658,0.008110821
5,1.854051,0.356084,1.417e-06,0.2013512,1.167e-06,0.02115013,0.02930045,0.02425746,0.02227105,0.007700238,0.02128447,0.006840073,0.00420391,0.006056408,0.01166598
6,2.210135,0.3198507,1.167e-06,0.1839023,1e-06,0.02741821,0.01391381,0.02814929,0.01862747,0.007048573,0.01650139,0.007027906,0.004154993,0.005887241,0.007217323
7,2.529986,0.4069581,1.417e-06,0.1956572,1.084e-06,0.04449943,0.055748,0.03312178,0.0220178,0.01103573,0.01632089,0.00866857,0.004109077,0.008057654,0.007719489
8,2.936944,0.3835424,1.417e-06,0.1829223,1.584e-06,0.02842937,0.07292572,0.02845621,0.02197005,0.007308572,0.01654731,0.007030323,0.00412241,0.005830908,0.007996237
9,3.320486,0.3879517,1.583e-06,0.1872125,9.17e-07,0.02934687,0.07281872,0.02838787,0.02209113,0.007293572,0.01656606,0.007021322,0.004276494,0.005930991,0.007003739
