OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
0,0,1.683005,1.0167e-05,0.002888078,1e-06,1.659232,0.002397163,0.004917908,0.00444416,0.001002165,0.000946582,0.004707825,0.000947415,0.000810082,0.000240833,0.000460333
1,1.683005,0.0291737,9.17e-07,0.002219413,8.33e-07,0.000429166,0.002203163,0.01701864,0.002148163,0.000663333,0.000835582,0.002086413,0.000425832,0.000795333,0.000236166,0.00011075
2,1.712179,0.02709429,9.17e-07,0.00190308,7.5e-07,0.000431166,0.000821416,0.003302828,0.003791327,0.000681165,0.000843249,0.009769151,0.004335993,0.000814748,0.000213333,0.000185167
3,1.739273,0.02327205,1.916e-06,0.002568413,1.75e-06,0.000783165,0.001027582,0.00841657,0.003276411,0.000927165,0.000833665,0.002685329,0.001546664,0.000803499,0.000224166,0.00017575
4,1.762545,0.01435498,1.333e-06,0.001983414,5.83e-07,0.000399416,0.000881915,0.002634246,0.002656412,0.000588916,0.000903415,0.002546996,0.000528083,0.000820498,0.000210583,0.000199167
5,1.7769,0.01589914,1.334e-06,0.002065413,7.5e-07,0.000623332,0.000669416,0.002604496,0.003035078,0.001085082,0.000846915,0.003233161,0.000551,0.000808915,0.00020575,0.000168499
6,1.792799,0.02633387,1.25e-06,0.001935413,6.67e-07,0.000498999,0.001262498,0.004529409,0.003413995,0.001172331,0.000853082,0.0108164,0.000662999,0.000835415,0.000205917,0.000145499
7,1.819133,0.02964204,1.417e-06,0.00201383,8.33e-07,0.000572249,0.001182915,0.01104773,0.002953995,0.000775332,0.000855915,0.003148412,0.005928074,0.000809832,0.000207249,0.00014425
8,1.848775,0.02507271,1.25e-06,0.001944163,1.084e-06,0.000451332,0.000926582,0.002843746,0.01287148,0.000506499,0.000883748,0.002859246,0.000609749,0.000813832,0.000217583,0.000142416
9,1.873848,0.02361004,1.667e-06,0.00202633,1e-06,0.000657832,0.001187248,0.008027821,0.002941495,0.000606999,0.000877748,0.003414912,0.002613829,0.000811415,0.000213416,0.000228333
10,1.897458,0.0210133,1.167e-06,0.00195508,1.083e-06,0.000497833,0.000971332,0.002760912,0.00404741,0.000605582,0.000852249,0.007171905,0.000493249,0.001249498,0.00021125,0.000194749
11,1.918471,0.02489913,1.333e-06,0.00193333,7.5e-07,0.000365167,0.003164161,0.01053098,0.002692912,0.000502749,0.000832249,0.002874579,0.000795582,0.000817165,0.000208,0.000180166
12,1.943371,0.02561629,1.084e-06,0.001959246,8.34e-07,0.000504666,0.00195533,0.003395994,0.003165995,0.001439664,0.000833332,0.002670746,0.008533653,0.000806915,0.000204083,0.00014475
13,1.968987,0.02727737,1.083e-06,0.001944747,8.33e-07,0.000592083,0.003017745,0.01031632,0.002633746,0.000487499,0.000836332,0.005804991,0.000480332,0.000811166,0.000206333,0.000144166
14,1.996264,0.02544638,1e-06,0.00193233,5.84e-07,0.000407499,0.001337748,0.01331015,0.002695995,0.000501749,0.000839416,0.002782495,0.000481416,0.000811665,0.000202583,0.00014175
15,2.021711,0.02475413,1e-06,0.001909247,9.16e-07,0.00039925,0.001310998,0.0127659,0.002526662,0.000504083,0.000839665,0.002845412,0.000474499,0.000810915,0.000203833,0.00016175
16,2.046465,0.02589696,1e-06,0.00192233,7.5e-07,0.00041575,0.001052831,0.01420906,0.002587079,0.000495249,0.000833249,0.002738912,0.000484082,0.000808166,0.000203333,0.000145166
17,2.072362,0.03333003,1.167e-06,0.00190083,8.33e-07,0.000427999,0.001087165,0.01064365,0.002951828,0.001986914,0.000854832,0.0118114,0.000499499,0.000794666,0.000226582,0.000142667
18,2.105692,0.02457021,1.083e-06,0.002109163,7.5e-07,0.0004125,0.000921998,0.01255465,0.002925829,0.000499332,0.000820749,0.002658579,0.000494666,0.000807332,0.000221166,0.000142417
19,2.130262,0.02697446,1.083e-06,0.00189233,5.84e-07,0.000394416,0.000916915,0.003700744,0.004569492,0.000518833,0.000839832,0.00576574,0.007218822,0.000804415,0.000207083,0.000144167
20,2.157236,0.03291345,1.334e-06,0.002141246,7.5e-07,0.001226498,0.009351402,0.002838078,0.00460491,0.007649654,0.000832748,0.002581746,0.000465666,0.000854249,0.000204749,0.000160417
21,2.19015,0.02438229,1.583e-06,0.001910414,8.33e-07,0.000411333,0.001390831,0.004793409,0.01009573,0.000488583,0.000841082,0.002807245,0.000476333,0.000816582,0.000203333,0.000145
22,2.214532,0.03214186,9.16e-07,0.001930664,7.5e-07,0.000877332,0.00822957,0.00371416,0.00426091,0.00801382,0.000843916,0.002627995,0.000481749,0.000808999,0.00020575,0.000145333
23,2.246674,0.02447696,9.17e-07,0.001917914,8.33e-07,0.000379916,0.007785237,0.002951745,0.005797074,0.00050125,0.000822832,0.002667579,0.000473415,0.000814666,0.000219916,0.000143667
24,2.271151,0.02475321,8.33e-07,0.00191008,7.5e-07,0.00041975,0.001257914,0.007343655,0.007990487,0.000638582,0.000841832,0.002715662,0.0004715,0.000813665,0.00020525,0.000143249
25,2.295904,0.02483854,1.25e-06,0.00189158,7.5e-07,0.000448833,0.000953332,0.00559849,0.0101359,0.000632915,0.000835832,0.002695829,0.000469333,0.000809498,0.000203083,0.000161917
