OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
0,0,2.741218,9.5e-06,0.1824789,1.416e-06,2.166703,0.04902884,0.03103512,0.02453838,0.04660701,0.06276399,0.04758217,0.02572138,0.06207124,0.0198618,0.0228153
1,2.741218,0.5778757,1.25e-06,0.1979079,9.17e-07,0.03266712,0.02574113,0.02653946,0.03077179,0.03564286,0.06291665,0.03787819,0.02631096,0.07285239,0.01923997,0.009405152
2,3.319094,0.564162,1.834e-06,0.1810657,9.16e-07,0.02862954,0.0728488,0.03088737,0.02476696,0.02680846,0.06332865,0.02438513,0.02634846,0.0632999,0.01405081,0.007739405
3,3.883256,0.5228062,1.75e-06,0.184425,1.083e-06,0.02841279,0.0138879,0.03056845,0.02234822,0.02595313,0.06299465,0.03961911,0.02611429,0.06264907,0.01403448,0.01179623
4,4.406062,0.5197042,1.583e-06,0.1882436,1.166e-06,0.0210293,0.0292852,0.02685779,0.02124372,0.02605629,0.0640524,0.0283667,0.02642846,0.06364707,0.01519889,0.009291986
5,4.925766,0.6121255,1.333e-06,0.189242,1.083e-06,0.03723228,0.02954387,0.03412128,0.02434138,0.03885977,0.07958629,0.05737849,0.03203795,0.06385498,0.01503681,0.01088798
6,5.537892,0.5115762,1.5e-06,0.1864115,1.167e-06,0.02094272,0.02931937,0.02670471,0.0213548,0.02638421,0.06322548,0.02434955,0.02600104,0.0655149,0.01419914,0.007166072
7,6.049468,0.5842803,1.5e-06,0.1860169,1.083e-06,0.02878937,0.07288697,0.03088054,0.02428946,0.02606488,0.06387057,0.0420396,0.02571788,0.06265732,0.0140419,0.007022322
8,6.633748,0.5765064,1.584e-06,0.1875402,1e-06,0.02853921,0.07296289,0.03076954,0.02387988,0.02581171,0.06328949,0.02835146,0.02638713,0.0630604,0.01518648,0.01072548
9,7.210255,0.5706041,1.5e-06,0.1878859,1.083e-06,0.02845854,0.0729313,0.03079387,0.02397588,0.02594621,0.06319657,0.0243928,0.02606613,0.06512065,0.01479298,0.007040739
10,7.780859,0.51481,1.333e-06,0.1870252,1.083e-06,0.02094872,0.02939804,0.02673687,0.02128655,0.02695012,0.06342123,0.02416363,0.02604929,0.06292249,0.01520656,0.0106989
11,8.295669,0.5168155,1.25e-06,0.1889849,1e-06,0.02096522,0.02927671,0.02670071,0.02127488,0.02682371,0.06430507,0.02441888,0.02647704,0.06634898,0.01424964,0.006987572
12,8.812484,0.5131795,1.333e-06,0.1827949,1e-06,0.02102972,0.02924087,0.02686154,0.02129497,0.02630754,0.06278715,0.02858029,0.02638721,0.06235524,0.01513498,0.01040282
13,9.325664,0.557571,1.25e-06,0.1855525,1e-06,0.02831721,0.04866367,0.03080404,0.02370946,0.02594596,0.06301357,0.04199643,0.02570688,0.06276432,0.01409048,0.007004239
