OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,convert_color,gaussian_blur,sobel,convert_scale,sobel2,conver_scale2,add_weighted,show_img
0,0,0.0127039,7.5e-06,0.002675495,0.003673244,0.003097745,0.000343166,0.000934999,0.000339166,0.000902415,0.000244,0.000486166
1,0.0127039,0.007878237,1.916e-06,0.00241983,0.000240916,0.002892662,0.000183916,0.000811749,0.000159666,0.000797832,0.000222083,0.000147667
2,0.02058213,0.007492155,1.334e-06,0.00203783,0.000209833,0.002942578,0.000142,0.000827749,0.000144916,0.000823499,0.000213749,0.000148667
3,0.02807429,0.01385673,1.25e-06,0.004753576,0.000271083,0.003287161,0.000214666,0.001837997,0.000177583,0.001136999,0.000779415,0.001396998
4,0.04193102,0.008653402,1.083e-06,0.002855912,0.000330166,0.003032495,0.000191333,0.000810499,0.000174166,0.000791999,0.000240833,0.000224916
5,0.05058442,0.008144903,1.25e-06,0.002503912,0.000270166,0.003032079,0.000159833,0.000821748,0.00015125,0.000798999,0.000211166,0.0001945
6,0.05872932,0.00764632,1.166e-06,0.00202808,0.00022375,0.003093161,0.000130917,0.000818499,0.000169249,0.000802082,0.000209083,0.000170333
7,0.06637564,0.008347069,1.25e-06,0.002816578,0.000239417,0.003009995,0.00013025,0.000820748,0.000158333,0.000797499,0.000208916,0.000164083
8,0.07472271,0.008111987,1.167e-06,0.002510912,0.000217167,0.003053578,0.00015825,0.000840165,0.000160583,0.000803332,0.000209583,0.00015725
9,0.0828347,0.007483821,1.583e-06,0.00201833,0.000235166,0.003045162,0.00011575,0.000815498,0.000131083,0.000796916,0.000206166,0.000118167
10,0.09031852,0.008298403,1.417e-06,0.002694912,0.000255416,0.003031496,0.000174583,0.000885331,0.00014025,0.000784582,0.000214,0.000116416
11,0.09861692,0.007782988,1.25e-06,0.002326913,0.000303667,0.002948661,0.00012475,0.000817249,0.000133916,0.000794332,0.000205583,0.000126667
12,0.1063999,0.007952154,1.5e-06,0.002165413,0.000531332,0.003027829,0.000108666,0.000810582,0.00012375,0.000821082,0.000229333,0.000132667
13,0.1143521,0.008957902,1e-06,0.002497829,0.001233248,0.002926079,0.00018225,0.000824832,0.000180499,0.000793749,0.00020275,0.000115666
14,0.12331,0.008639903,1e-06,0.002360997,0.000763832,0.003363327,0.000107917,0.000811665,0.00012325,0.000798249,0.000201916,0.00010775
15,0.1319499,0.007922654,1.583e-06,0.002017747,0.000694582,0.002901495,0.0001235,0.000813582,0.000137,0.000850082,0.000210166,0.000172917
16,0.1398725,0.007914404,8.33e-07,0.002603246,0.000157833,0.003010328,0.00010725,0.000811749,0.00012375,0.000788415,0.000206166,0.000104834
17,0.1477869,0.007995737,1.333e-06,0.002603579,0.000233417,0.002910078,0.00012775,0.000802415,0.000154083,0.000833999,0.000215166,0.000113917
18,0.1557827,0.007413571,1.083e-06,0.00196458,0.000171666,0.003006496,0.000108999,0.000838249,0.000149333,0.000816582,0.000208583,0.000148
