OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,convert_scale,sobel2,convert_scale2,add_weighted,gpu_frame_download,show_img
0,0,0.03738644,3.917e-06,0.007860071,8.33e-07,0.001697164,0.004912492,0.008701736,0.007142655,0.001556997,0.001892664,0.001120665,0.000526332,0.000877249,0.001093665
1,0.03738644,0.05758916,1e-06,0.02373221,1.167e-06,0.006406823,0.00157933,0.003550495,0.01336939,0.00162458,0.003206995,0.001946497,0.001076748,0.000780499,0.000313416
2,0.0949756,0.02749812,1.25e-06,0.007479738,7.5e-07,0.001424081,0.00206283,0.003368994,0.003912161,0.002169413,0.003219411,0.001542748,0.001192581,0.000652999,0.000471166
3,0.1224737,0.03503911,1.084e-06,0.007476654,1e-06,0.001585164,0.002068164,0.003349744,0.003402245,0.001739497,0.003388161,0.001673497,0.009406318,0.000623582,0.000324
4,0.1575128,0.02628237,1.583e-06,0.006443156,1.334e-06,0.001759414,0.001368831,0.002485412,0.002671079,0.001272332,0.002631579,0.005763657,0.000957582,0.000557915,0.0003685
5,0.1837952,0.02426429,2.25e-06,0.006334073,6.67e-07,0.001121581,0.001718497,0.00249808,0.006156656,0.001214248,0.002473163,0.001168165,0.000689249,0.000550249,0.000337416
6,0.2080595,0.02295738,1.5e-06,0.006950739,1e-06,0.001128998,0.001405664,0.00211333,0.005712241,0.001107582,0.002084996,0.001007582,0.000587249,0.000526999,0.0003295
7,0.2310169,0.02629421,1.333e-06,0.006253907,9.17e-07,0.001181831,0.001570747,0.002493246,0.008554403,0.001187081,0.002350747,0.001172581,0.000660999,0.000514583,0.000351832
8,0.2573111,0.02447638,1.166e-06,0.0103299,8.34e-07,0.001370497,0.001574414,0.002412163,0.002534496,0.001188331,0.002391413,0.001177832,0.000668415,0.000497666,0.00032925
9,0.2817875,0.02209338,1.25e-06,0.009851817,9.17e-07,0.001362415,0.001300581,0.00193333,0.002149663,0.001045665,0.001995164,0.001022581,0.000568083,0.000531832,0.000330083
10,0.3038808,0.02218946,1.167e-06,0.009223151,8.34e-07,0.001164998,0.001436831,0.00194908,0.002138913,0.001184331,0.002377997,0.001200748,0.000669915,0.000514083,0.000327416
11,0.3260703,0.02662821,1.084e-06,0.009808151,9.16e-07,0.001301248,0.001572748,0.003184244,0.002532163,0.001234748,0.002386579,0.001169582,0.001687914,0.001399247,0.000349583
