OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
0,0,2.40532,7.833e-06,0.138258,8.33e-07,2.112492,0.0256698,0.01294657,0.01059632,0.01140207,0.02411072,0.01119049,0.008225072,0.0209653,0.02175197,0.007702739
1,2.40532,0.3718339,1.083e-06,0.1761471,1.166e-06,0.01055232,0.00998557,0.02738846,0.02788588,0.01615014,0.02618021,0.01888039,0.01074098,0.02621796,0.02018022,0.001522414
2,2.777153,0.3546551,1e-06,0.174065,8.34e-07,0.007533323,0.01680114,0.03676703,0.01453081,0.01406231,0.0228768,0.01330023,0.01154223,0.0211948,0.02040081,0.001578747
3,3.131809,0.311529,9.17e-07,0.1408903,1e-06,0.00976057,0.02527297,0.01257432,0.01204807,0.01720639,0.02655413,0.01304957,0.01097815,0.02152672,0.02019039,0.001475498
4,3.443337,0.325323,2.833e-06,0.1554892,8.34e-07,0.009515403,0.02527013,0.01319381,0.01171198,0.01692773,0.02599955,0.01320723,0.01054257,0.0215503,0.01988456,0.00202683
5,3.76866,0.30317,2.083e-06,0.1638025,1.25e-06,0.007217407,0.009917736,0.02345297,0.008995821,0.008887737,0.02078247,0.009390237,0.008558821,0.0207903,0.01986781,0.001502831
6,4.07183,0.329474,1.416e-06,0.1436526,9.17e-07,0.007515656,0.01712173,0.03796236,0.01204498,0.01634548,0.02767471,0.01304848,0.01107165,0.02120172,0.02034872,0.001483665
7,4.401305,0.3459466,1.25e-06,0.1453566,1e-06,0.009884403,0.02518363,0.0335532,0.01250648,0.01934756,0.02903654,0.01319723,0.01121523,0.0213638,0.02375038,0.001549331
8,4.747251,0.3201954,1.583e-06,0.1553871,1e-06,0.008514488,0.01000374,0.03048388,0.01007765,0.01422915,0.02585755,0.01127215,0.01049507,0.02209722,0.02027306,0.001501748
9,5.067447,0.3035031,1.416e-06,0.1435744,9.17e-07,0.00753149,0.009898653,0.02286447,0.01911972,0.01232315,0.02397322,0.01282107,0.008645905,0.02138264,0.01986589,0.001500165
10,5.37095,0.3249012,2.417e-06,0.1565607,1.083e-06,0.009511321,0.02526988,0.0132359,0.0120454,0.01597089,0.02511938,0.01292998,0.01113398,0.0212798,0.02034922,0.001491248
11,5.695851,0.3403972,1.584e-06,0.1479667,9.17e-07,0.009925653,0.02522347,0.03334612,0.01816531,0.01390665,0.02417955,0.01393098,0.01087499,0.02103464,0.02034255,0.001498081
12,6.036248,0.3169838,1.5e-06,0.1466351,1.084e-06,0.00968132,0.02514963,0.01279815,0.01179715,0.01599748,0.02678188,0.01335023,0.01157473,0.02144472,0.02027614,0.001494665
13,6.353232,0.328165,1.25e-06,0.1470315,1e-06,0.007398823,0.01687414,0.03725712,0.01211823,0.01438215,0.0262688,0.0131674,0.01052707,0.02129197,0.02036089,0.001484748
14,6.681397,0.3094727,1.417e-06,0.147115,1e-06,0.00969232,0.02526038,0.0136774,0.01120048,0.01342431,0.02405605,0.01190657,0.01022082,0.02117289,0.02025747,0.001486665
15,6.99087,0.3118255,1.667e-06,0.1464543,7.5e-07,0.009999069,0.02492572,0.01250032,0.01085232,0.01531156,0.02447272,0.01321131,0.01050615,0.02128114,0.02081339,0.001495081
16,7.302695,0.4043435,1.334e-06,0.1477488,9.16e-07,0.00996257,0.02483063,0.0468691,0.03413304,0.01430956,0.02780013,0.02403113,0.0230553,0.02931863,0.02080014,0.001482248
17,7.707039,0.3281441,2.75e-06,0.1627963,7.5e-07,0.009832236,0.02487788,0.0128404,0.01368273,0.01420523,0.0239683,0.01214748,0.01079932,0.02105039,0.02006797,0.001872414
18,8.035183,0.3117142,1.583e-06,0.1481135,9.17e-07,0.009821486,0.02490063,0.01264165,0.01152232,0.01409056,0.0245218,0.01230957,0.01048474,0.02115364,0.02017497,0.001976914
19,8.346897,0.3542081,1.334e-06,0.1476785,8.33e-07,0.007508406,0.01689206,0.056964,0.01932931,0.01439215,0.02310664,0.01447648,0.01067107,0.02122047,0.02048356,0.001483247
20,8.701105,0.3165529,1.75e-06,0.1491621,8.33e-07,0.009568237,0.02517813,0.01285582,0.01164482,0.01562373,0.0256078,0.01315165,0.01071607,0.02117739,0.02036772,0.001496831
21,9.017658,0.3161166,1.333e-06,0.1479534,1e-06,0.009550903,0.0251038,0.01292865,0.01129515,0.01621698,0.02559822,0.01298348,0.01081824,0.02140772,0.0199823,0.002275497
