OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,convert_color,gaussian_blur,sobel,convert_scale,sobel2,conver_scale2,add_weighted,show_img
0,0,0.3250499,8.917e-06,0.1430132,0.01367315,0.0622425,0.01937981,0.02101064,0.01877006,0.01981864,0.01935597,0.007776989
1,0.3250499,0.3386662,1.333e-06,0.172062,0.0130319,0.06831666,0.01494998,0.01763623,0.01435531,0.01766931,0.01916931,0.001474165
2,0.6637161,0.3283607,1.333e-06,0.1440816,0.0230213,0.07191765,0.0154729,0.02034647,0.01452798,0.01802439,0.01948972,0.001477332
3,0.9920768,0.3026159,1.166e-06,0.1371096,0.01792114,0.06202333,0.01495948,0.01772889,0.01431098,0.01778131,0.01929839,0.001481665
4,1.294693,0.3096193,1.917e-06,0.1423079,0.01949639,0.06181283,0.01478131,0.01779639,0.01435831,0.01831864,0.01923981,0.001505831
5,1.604312,0.3462003,1.166e-06,0.1627501,0.02369055,0.07394623,0.01501756,0.01783839,0.01442731,0.01776547,0.01929197,0.001471498
6,1.950512,0.3434274,2.583e-06,0.1592109,0.01964272,0.06486633,0.01502806,0.02388213,0.0149869,0.02025589,0.02204155,0.003510328
7,2.29394,0.3311353,1.583e-06,0.1650699,0.01855922,0.06208216,0.01475523,0.01779906,0.01434165,0.01772839,0.01929631,0.001501748
8,2.625075,0.3090474,1.75e-06,0.1429648,0.01845114,0.0621975,0.01478123,0.01779373,0.01434748,0.01778098,0.01923981,0.001488998
9,2.934122,0.31049,1.75e-06,0.1431896,0.0200623,0.0618015,0.01476798,0.01780031,0.01435365,0.01777997,0.01922939,0.001503498
10,3.244612,0.3122705,1.417e-06,0.1472698,0.01805414,0.06133283,0.0148374,0.01773447,0.0143504,0.01779448,0.01924089,0.001654664
11,3.556883,0.3168617,2e-06,0.1523473,0.01699048,0.06188266,0.01482756,0.01784122,0.01434331,0.01782889,0.01929964,0.001498665
12,3.873745,0.3183128,2.166e-06,0.1512661,0.01884697,0.0622215,0.01491006,0.01783056,0.01457381,0.01792664,0.01923147,0.001503498
13,4.192057,0.3203028,2.334e-06,0.152529,0.01927447,0.06255216,0.01496239,0.01779906,0.01457098,0.01781364,0.01929372,0.001504998
14,4.51236,0.3102057,1.5e-06,0.1432061,0.01904456,0.0620675,0.01486765,0.01785406,0.01458115,0.01781173,0.01923039,0.001541165
15,4.822566,0.3096277,1.667e-06,0.1429949,0.01901789,0.06199416,0.01494031,0.01788431,0.0142764,0.01778614,0.01922989,0.001502081
16,5.132194,0.3084188,1.667e-06,0.1428334,0.01734181,0.06211816,0.0151569,0.01780623,0.01455256,0.01780764,0.01923839,0.001562082
17,5.440612,0.3118165,1.5e-06,0.1440797,0.01970606,0.06211158,0.01498998,0.01803214,0.01430073,0.01779331,0.01930572,0.001495747
18,5.752429,0.3248944,2.5e-06,0.1576262,0.01901772,0.06185691,0.01513156,0.01786081,0.01432906,0.01806689,0.01942814,0.001574581
19,6.077323,0.3119385,1.75e-06,0.1444036,0.01940372,0.06220933,0.01492781,0.01808631,0.01430415,0.01777773,0.01932064,0.001503415
20,6.389262,0.3310665,2.916e-06,0.166217,0.01727781,0.06192333,0.0148784,0.01780039,0.01426948,0.01790939,0.01928797,0.001499832
21,6.720328,0.3193458,2.25e-06,0.1543288,0.01665889,0.06231483,0.0149914,0.01776314,0.01474723,0.01775422,0.01929439,0.001490664
22,7.039674,0.3110154,1.666e-06,0.1441219,0.01841214,0.06241375,0.01498456,0.01779347,0.01470156,0.01780647,0.01930022,0.001479665
23,7.35069,0.3172376,1.75e-06,0.1465642,0.02156164,0.06303825,0.01504756,0.01775248,0.01468031,0.01773523,0.01936247,0.001493748
24,7.667927,0.3282163,2.166e-06,0.1602279,0.01871689,0.06289291,0.0152069,0.01782306,0.0144384,0.01808914,0.01931881,0.001500081
25,7.996143,0.3166166,1.416e-06,0.1431902,0.02042489,0.06634399,0.01553639,0.01793381,0.01454006,0.01785223,0.01929597,0.001497664
26,8.31276,0.3094283,1.334e-06,0.1440234,0.01735931,0.06219233,0.01488073,0.01785664,0.01456548,0.01777773,0.01928647,0.001484915
27,8.622188,0.312715,1.416e-06,0.1434024,0.02104122,0.06212,0.01491573,0.01823156,0.01433223,0.01778481,0.01939914,0.001486498
28,8.934903,0.325971,2.583e-06,0.1582464,0.01994372,0.06198825,0.01512415,0.01773214,0.01420531,0.01784797,0.01929206,0.001588414
29,9.260874,0.3106307,1.5e-06,0.1428666,0.01967364,0.06223808,0.01494481,0.01775664,0.01456981,0.01778456,0.01924372,0.001551331
30,9.571505,0.3097423,1.583e-06,0.1431946,0.01916981,0.06176183,0.01486615,0.01791839,0.01430465,0.01778664,0.01923706,0.001501665
31,9.881247,0.3177013,1.834e-06,0.1527331,0.01781606,0.06153625,0.01489206,0.01773097,0.01437573,0.01772289,0.01940289,0.001489498
32,10.19895,0.3304505,2.833e-06,0.1638979,0.01837073,0.06220608,0.01489623,0.01790406,0.0145669,0.01779281,0.01932406,0.001488998
33,10.5294,0.3221201,2.583e-06,0.1574843,0.01729739,0.061914,0.01495173,0.01773081,0.01423531,0.01772089,0.01928364,0.001499498
34,10.85152,0.3185894,2.166e-06,0.1526855,0.01768456,0.06225866,0.0152264,0.01781306,0.01419848,0.01791047,0.01923331,0.001576832
35,11.17011,0.3186193,2.084e-06,0.1522725,0.01844972,0.06221283,0.01488481,0.01784114,0.01441206,0.01780831,0.01923722,0.001498582
36,11.48873,0.3124329,1.75e-06,0.147006,0.01759856,0.06230858,0.0148799,0.01778181,0.01425448,0.01778814,0.01923214,0.001581498
37,11.80116,0.3065472,1.5e-06,0.1425722,0.01638356,0.06213433,0.01486365,0.01780764,0.01425565,0.01779198,0.01924264,0.001494081
38,12.10771,0.3109678,1.917e-06,0.1460869,0.01751547,0.06187958,0.01492165,0.01780589,0.01422506,0.01780272,0.01923664,0.001491998
39,12.41868,0.3202061,2.25e-06,0.152563,0.01999839,0.061853,0.01484865,0.01778756,0.01464281,0.01773014,0.01927947,0.001500831
40,12.73888,0.3101015,1.5e-06,0.1463735,0.01657548,0.06163566,0.01484348,0.01779572,0.01413348,0.01778197,0.01947597,0.001484664
41,13.04898,0.309845,1.667e-06,0.1427733,0.01972014,0.06184191,0.01483856,0.01783931,0.01430181,0.01779264,0.01923239,0.001503248
42,13.35883,0.310768,1.416e-06,0.1435965,0.01925647,0.06230525,0.01485498,0.01779481,0.01433831,0.01778373,0.01923597,0.001600498
43,13.6696,0.325908,2.417e-06,0.1592124,0.01928647,0.0618545,0.01487606,0.01772981,0.01430815,0.01783964,0.01930997,0.001488498
44,13.9955,0.3101564,1.5e-06,0.1435993,0.01838281,0.06268433,0.01483856,0.01779964,0.01433306,0.01778264,0.01924564,0.001488915
45,14.30566,0.3083587,1.417e-06,0.1439355,0.01703198,0.06174366,0.0149159,0.01790881,0.01429931,0.01778456,0.01923797,0.001499581
46,14.61402,0.3107026,1.75e-06,0.1438291,0.01946097,0.06184291,0.01505473,0.01772881,0.0141929,0.01780231,0.01930056,0.001488581
47,14.92472,0.3326018,2.916e-06,0.1644502,0.01979631,0.06245383,0.0149629,0.01784439,0.01457248,0.01780923,0.01922906,0.001480497
48,15.25732,0.3233555,2.417e-06,0.1580269,0.01784881,0.06180025,0.01497681,0.01772481,0.0144669,0.01772772,0.01929856,0.001482415
49,15.58068,0.3090678,1.583e-06,0.1427561,0.01847239,0.06200766,0.01520456,0.01780306,0.01430031,0.01778289,0.01923781,0.001501498
50,15.88975,0.3105505,1.583e-06,0.1430209,0.02004514,0.06194533,0.01489906,0.01780064,0.01431731,0.01778947,0.01923639,0.001494664
51,16.2003,0.3109722,1.25e-06,0.1441412,0.01938381,0.06190691,0.01498115,0.01773631,0.0142409,0.01778723,0.01929322,0.001500248
52,16.51127,0.3106363,1.583e-06,0.1431294,0.01945456,0.06184558,0.0151854,0.01787848,0.01463198,0.01779039,0.01923572,0.001483248
53,16.82191,0.3182457,2.583e-06,0.152716,0.01763898,0.06205491,0.01498615,0.01786947,0.01446281,0.01772956,0.01929897,0.001486331
54,17.14015,0.3081723,1.917e-06,0.1444444,0.01655181,0.06147008,0.0150129,0.01779739,0.01432548,0.01778389,0.01923006,0.001554415
55,17.44832,0.3090773,1.667e-06,0.1445629,0.01689031,0.06202733,0.01490165,0.01773956,0.01435748,0.01779514,0.01923322,0.001568081
56,17.7574,0.3109485,1.583e-06,0.1440719,0.01885022,0.06215408,0.01522614,0.01779297,0.01433273,0.01778398,0.01923697,0.001497915
57,18.06835,0.3123761,1.334e-06,0.1445257,0.02016206,0.06210091,0.0148539,0.01779473,0.01425823,0.01778864,0.01923064,0.001659914
58,18.38073,0.3244322,2.834e-06,0.1598866,0.01678881,0.0618475,0.0150119,0.01773973,0.0144159,0.01772281,0.01952797,0.001488165
59,18.70516,0.311097,1.5e-06,0.1440956,0.01875914,0.06222916,0.0149009,0.01784106,0.01466948,0.01781114,0.01923914,0.001549831
60,19.01626,0.3118938,1.417e-06,0.1449465,0.01843714,0.06227,0.0151309,0.01809156,0.01435856,0.01778631,0.01923239,0.001639081
61,19.32815,0.3090777,1.5e-06,0.1426487,0.01801731,0.06245375,0.01486598,0.01785081,0.01465873,0.01783856,0.01923897,0.001503331
62,19.63723,0.3268418,2.5e-06,0.1609349,0.01704506,0.06236675,0.01515765,0.01786464,0.01435398,0.01775048,0.01980189,0.001563998
63,19.96407,0.3116755,1.5e-06,0.1436699,0.01976906,0.06192941,0.0150334,0.01777231,0.01470265,0.01791589,0.01929556,0.001585831
64,20.27574,0.3108791,1.416e-06,0.1438486,0.01940464,0.06194433,0.01486073,0.01792206,0.01438215,0.01778748,0.01923031,0.001497415
65,20.58662,0.3270407,2.333e-06,0.1614779,0.01698614,0.062449,0.01539815,0.01771881,0.01445148,0.01772797,0.01934372,0.001485165
66,20.91366,0.3097084,1.916e-06,0.1432039,0.01887781,0.0619875,0.01500115,0.01780064,0.01427723,0.01779322,0.01927714,0.001487915
67,21.22337,0.3275301,2.75e-06,0.1585953,0.02057105,0.06198908,0.01508773,0.01801281,0.01462598,0.01775456,0.01928906,0.001601831
68,21.5509,0.3114024,1.333e-06,0.1431821,0.01966597,0.06252208,0.01507848,0.01779331,0.0145919,0.01778264,0.01929839,0.001486248
69,21.86231,0.3136646,1.583e-06,0.1452336,0.02010281,0.06233958,0.01508506,0.01803481,0.01435548,0.01772506,0.01929256,0.001493998
70,22.17597,0.3183665,2.167e-06,0.1525519,0.01783939,0.06172908,0.01505373,0.01779556,0.01464048,0.01774739,0.01951181,0.001494998
71,22.49434,0.318855,2.25e-06,0.1518224,0.01812939,0.062772,0.01517281,0.01785964,0.0145509,0.01781281,0.01922597,0.001506832
72,22.81319,0.317506,2e-06,0.152902,0.01619056,0.06235158,0.01512015,0.01776514,0.01457656,0.01780198,0.01930122,0.001494832
73,23.1307,0.3182634,1.834e-06,0.1527004,0.01750231,0.06195675,0.01508798,0.01802789,0.01436165,0.01772614,0.01938939,0.001509081
74,23.44896,0.3158741,2.333e-06,0.1518806,0.01592873,0.06200141,0.01501698,0.01794139,0.0144544,0.01790031,0.01925864,0.001489248
75,23.76483,0.3193917,2e-06,0.1521036,0.01871514,0.06224883,0.01508173,0.01778981,0.01460948,0.01806647,0.01929714,0.001477498
76,24.08423,0.3107535,1.25e-06,0.1424575,0.01990506,0.06244158,0.01504731,0.01780448,0.01459256,0.01777373,0.01923081,0.001499248
77,24.39498,0.3090524,1.334e-06,0.1425467,0.01921672,0.06171166,0.01499198,0.01779481,0.01428448,0.01778814,0.01923164,0.001484915
78,24.70403,0.3090599,1.417e-06,0.1436555,0.01782723,0.06201,0.01498498,0.01779914,0.01416265,0.01788747,0.01923272,0.001498831
79,25.01309,0.3264284,2.417e-06,0.1583764,0.02046972,0.06194816,0.01506448,0.01772739,0.0143504,0.01772256,0.01928189,0.001484915
80,25.33952,0.3079387,1.416e-06,0.1425043,0.01810497,0.06166891,0.01495315,0.01793497,0.01417406,0.01789123,0.01922072,0.001484998
81,25.64746,0.3093628,1.333e-06,0.1427842,0.01898856,0.06202825,0.01499014,0.01777898,0.01427815,0.01778714,0.01922989,0.001496165
82,25.95682,0.3086239,1.5e-06,0.1426371,0.01767847,0.06193641,0.01503665,0.01785098,0.01488806,0.01780289,0.01923247,0.001559332
83,26.26545,0.3095285,1.5e-06,0.1427096,0.01937656,0.061846,0.01499256,0.01779714,0.01428573,0.01778656,0.01923906,0.001493748
84,26.57497,0.325666,2.417e-06,0.1576659,0.01943056,0.06212008,0.01528715,0.01785289,0.01439306,0.01802256,0.01928814,0.001603248
85,26.90064,0.3089591,1.667e-06,0.1423486,0.01815781,0.06231191,0.01521065,0.01802889,0.01431756,0.01779214,0.01928889,0.001500998
86,27.2096,0.3117911,1.334e-06,0.146479,0.01696006,0.06216908,0.01512206,0.01776289,0.01460023,0.01779764,0.01930264,0.001596081
87,27.52139,0.3231321,2.833e-06,0.1570264,0.01834456,0.06186141,0.0150599,0.01780206,0.0142939,0.01785456,0.01938656,0.001499998
88,27.84452,0.3107574,1.75e-06,0.1433151,0.01960322,0.06201283,0.01507073,0.01774106,0.01449581,0.01772581,0.01930306,0.001487997
89,28.15528,0.3107646,1.916e-06,0.1454187,0.01720564,0.06212325,0.01503289,0.01779464,0.01449706,0.01785256,0.01935031,0.001487665
90,28.46604,0.3197457,1.5416e-05,0.1541561,0.01812997,0.06182941,0.01500856,0.01778947,0.01431048,0.01779748,0.01922172,0.001487081
91,28.78579,0.321077,1.916e-06,0.1548514,0.01757356,0.06261725,0.01512506,0.01803664,0.01436665,0.01771739,0.01930072,0.001486415
92,29.10687,0.3108165,1.667e-06,0.143528,0.01954906,0.06205125,0.01506706,0.01772923,0.01430598,0.01778756,0.01932672,0.001469998
93,29.41768,0.3263407,2.333e-06,0.1591397,0.01885022,0.06219041,0.01506106,0.01783197,0.01435415,0.01807356,0.01933164,0.001505664
94,29.74402,0.3169528,1.584e-06,0.1481099,0.0207538,0.061832,0.01513115,0.01785256,0.0144834,0.01787448,0.01942906,0.001484915
95,30.06098,0.3093738,1.666e-06,0.1435128,0.01814556,0.06186516,0.01505406,0.01773714,0.01428615,0.01791447,0.01930722,0.001549582
96,30.37035,0.3112417,1.583e-06,0.1441365,0.01927839,0.06184933,0.01505356,0.01772823,0.01450181,0.01779064,0.01923514,0.001666581
97,30.68159,0.310181,1.667e-06,0.1430791,0.01932656,0.0619605,0.01523148,0.01779489,0.01428606,0.01777606,0.01922881,0.001495914
98,30.99177,0.3099474,1.834e-06,0.1443455,0.01772114,0.06226941,0.01500956,0.01779514,0.01430015,0.01777098,0.01923106,0.001502582
99,31.30172,0.312213,1.75e-06,0.1471782,0.01728831,0.06200325,0.01505173,0.01774298,0.01435481,0.01772356,0.01928822,0.001580165
100,31.61393,0.3243358,2.333e-06,0.1581411,0.01894539,0.0616355,0.01500631,0.01779281,0.0142959,0.01772722,0.01930372,0.001485498
101,31.93827,0.3097879,1.583e-06,0.1425736,0.02003622,0.06152966,0.01502148,0.01779456,0.01430656,0.01778473,0.01923456,0.001504998
102,32.24806,0.3095275,1.5e-06,0.1433199,0.01895497,0.06159141,0.01500131,0.01786798,0.01430223,0.01778448,0.01922906,0.001474665
103,32.55759,0.3095702,1.917e-06,0.1430912,0.01906156,0.06180183,0.0150094,0.01778947,0.01430656,0.01779081,0.01923114,0.001486248
104,32.86716,0.3180211,2.417e-06,0.1528379,0.01798256,0.06149925,0.01508965,0.01773498,0.01436906,0.01771431,0.01929689,0.001494081
105,33.18518,0.3126342,2e-06,0.1449064,0.01937664,0.0622705,0.01504448,0.01783456,0.0145734,0.01780198,0.01932572,0.001498581
106,33.49781,0.310761,1.334e-06,0.1436701,0.01889781,0.06218675,0.0150639,0.01782489,0.01459731,0.01778939,0.01923272,0.001496748
107,33.80857,0.3289465,2.833e-06,0.1608705,0.01968656,0.06200225,0.01529381,0.01783181,0.01434415,0.01808114,0.01932814,0.001505248
108,34.13752,0.325885,2.667e-06,0.1600056,0.01791422,0.06190141,0.01534165,0.01772589,0.01429723,0.01779264,0.01930172,0.001601998
109,34.4634,0.3097892,1.584e-06,0.1438068,0.01781623,0.06219058,0.01502106,0.01785272,0.01458298,0.01778848,0.01923131,0.001497498
110,34.77319,0.3293258,2.833e-06,0.1611378,0.01968631,0.062166,0.01527923,0.01781331,0.0143444,0.01802164,0.01937672,0.001497581
111,35.10252,0.3130013,1.5e-06,0.14438,0.01960156,0.06289216,0.01511565,0.01802606,0.01437006,0.01773081,0.01939589,0.001487664
112,35.41552,0.324524,2.5e-06,0.1599208,0.01631614,0.06183041,0.01539148,0.01785931,0.01431081,0.01809231,0.01929964,0.001500664
113,35.74004,0.3157298,1.666e-06,0.1487102,0.01908214,0.0618755,0.01505331,0.01782581,0.01458698,0.01785281,0.01925081,0.001490581
114,36.05577,0.323442,2.333e-06,0.1603842,0.01487423,0.06179608,0.01533523,0.01779814,0.01437873,0.01779031,0.01957531,0.001507498
115,36.37922,0.3103918,1.667e-06,0.1433406,0.01886139,0.06217925,0.01505465,0.01785031,0.01456423,0.01780756,0.01922856,0.001503664
116,36.68961,0.3217762,2e-06,0.1534824,0.02007931,0.06223733,0.0153599,0.01774973,0.0143579,0.01771456,0.01930472,0.001488415
