OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,convert_scale,sobel2,convert_scale2,add_weighted,gpu_frame_download,show_img
0,0,0.05658775,4.083e-06,0.01207048,6.67e-07,0.001506248,0.005457659,0.008999987,0.007241157,0.005828325,0.007212406,0.003878078,0.001940164,0.001249748,0.001198749
1,0.05658775,0.1146255,1.5e-06,0.05532267,9.17e-07,0.001693497,0.04318086,0.002278581,0.004363494,0.001032415,0.001869247,0.003303745,0.000770666,0.000601916,0.000206
2,0.1712133,0.02330797,1.084e-06,0.0112844,7.5e-07,0.001035499,0.001135665,0.001622164,0.001981914,0.001118582,0.002296414,0.001046581,0.000751583,0.000640666,0.000392666
3,0.1945212,0.02348347,1.833e-06,0.0110454,7.5e-07,0.001041666,0.001312498,0.00192183,0.002203914,0.001064748,0.002118581,0.001158082,0.000845248,0.000505083,0.000263833
4,0.2180047,0.02848788,1.666e-06,0.01376773,6.67e-07,0.001078998,0.001607581,0.00241333,0.002557913,0.001407998,0.002444164,0.001248581,0.000983082,0.000606333,0.000369832
5,0.2464926,0.0330582,9.16e-07,0.01625706,1.083e-06,0.001247665,0.001584915,0.002405413,0.003423245,0.001481498,0.003153579,0.001478331,0.001220832,0.000538416,0.000265249
6,0.2795508,0.02886904,1.917e-06,0.01098182,8.33e-07,0.001038332,0.002299747,0.003294495,0.003260745,0.001481248,0.003071496,0.001500581,0.001185165,0.000528,0.000224666
7,0.3084198,0.03171162,1.25e-06,0.01414998,7.5e-07,0.001103998,0.002095248,0.003461495,0.003250828,0.001478998,0.003086163,0.001466498,0.000860832,0.000507499,0.000248083
8,0.3401314,0.02783221,1.417e-06,0.01358223,1e-06,0.001180498,0.001700498,0.00241758,0.00253408,0.001179415,0.00234783,0.001208081,0.000964666,0.000493832,0.000221083
9,0.3679636,0.03134462,1.084e-06,0.0131179,8.33e-07,0.001058999,0.001733331,0.00247033,0.002558746,0.003032662,0.004816827,0.001175082,0.000662999,0.000493332,0.0002225
10,0.3993083,0.03719978,1.166e-06,0.01430723,6.67e-07,0.001146748,0.001421498,0.002405997,0.004070828,0.007301239,0.003176163,0.001716414,0.000856249,0.000548749,0.000246833
11,0.4365081,0.04028253,1.5e-06,0.02007139,1.083e-06,0.001059915,0.001561498,0.00247458,0.007368323,0.002742496,0.002388164,0.001155331,0.000661749,0.000474833,0.000321666
12,0.4767906,0.03212704,1.25e-06,0.01207765,7.5e-07,0.001044165,0.001603832,0.003369411,0.007835656,0.001281248,0.002350164,0.001167248,0.000665749,0.000477499,0.000252417
13,0.5089176,0.02748663,1.084e-06,0.01356381,1e-06,0.001259748,0.003026079,0.002002581,0.002177164,0.001026415,0.00197433,0.001158582,0.000567166,0.000501499,0.000227167
14,0.5364042,0.02981296,1.417e-06,0.01546631,1.25e-06,0.001533331,0.001702081,0.00241558,0.00252583,0.001179748,0.002355163,0.001146832,0.000777249,0.000484916,0.00022325
15,0.5662172,0.02805096,1.084e-06,0.01428098,7.5e-07,0.001149748,0.001578164,0.002413664,0.002545996,0.001197165,0.002347997,0.001162415,0.000670249,0.000463749,0.000239
16,0.5942682,0.02706696,1.5e-06,0.01339515,6.67e-07,0.001161665,0.001586748,0.00240808,0.002538663,0.001162915,0.002279413,0.001165165,0.00066575,0.000477332,0.000223917
17,0.6213351,0.03174571,1.167e-06,0.0141814,8.33e-07,0.001151248,0.002090748,0.003390161,0.003254663,0.001480997,0.003080413,0.001468831,0.000858832,0.000541666,0.00024475
18,0.6530808,0.02713263,1.083e-06,0.01336665,7.5e-07,0.001038999,0.001664081,0.002421246,0.00253258,0.001197998,0.002343247,0.001174582,0.000664082,0.000477499,0.000249833
19,0.6802135,0.02861913,1e-06,0.01336373,6.67e-07,0.001051915,0.001574164,0.002395997,0.00256558,0.001490414,0.003067663,0.001484998,0.000865582,0.000534582,0.000222833
20,0.7088326,0.03181871,1.25e-06,0.01406748,8.34e-07,0.001023998,0.002282914,0.003301662,0.003269412,0.001703081,0.003084912,0.001467498,0.000865999,0.000524499,0.000225166
21,0.7406513,0.03032054,1.5e-06,0.01276023,7.5e-07,0.001034998,0.002099164,0.003284996,0.003265412,0.001619747,0.003073079,0.001474415,0.000857166,0.000514999,0.000334083
22,0.7709718,0.02809363,1.083e-06,0.01430948,7.5e-07,0.001324998,0.001422831,0.002410497,0.002526497,0.001183248,0.002393913,0.001168915,0.000664916,0.000462999,0.0002235
23,0.7990655,0.02775429,1.083e-06,0.01406698,1.084e-06,0.001030665,0.001583331,0.002417163,0.002539997,0.001195415,0.00238183,0.001181248,0.000668166,0.000469333,0.000217999
24,0.8268198,0.02732263,1e-06,0.0134354,5.83e-07,0.001107999,0.001571998,0.002407079,0.002561914,0.001168331,0.002515663,0.001180999,0.000668582,0.000480083,0.000222999
25,0.8541424,0.03515645,1.583e-06,0.01844023,7.5e-07,0.001233748,0.001598331,0.003001079,0.003262745,0.001470332,0.003068162,0.001474331,0.000861999,0.000520333,0.000222833
26,0.8892988,0.03016887,1.25e-06,0.01331506,5.83e-07,0.001127998,0.001933248,0.003269828,0.002936496,0.001607998,0.002904329,0.001470082,0.000861832,0.000521666,0.000218499
27,0.9194677,0.02692838,1.083e-06,0.01377773,9.17e-07,0.001052915,0.001420081,0.002467247,0.002279663,0.001194498,0.002206831,0.001161915,0.000665665,0.0004775,0.000222333
28,0.9463961,0.02705104,1.083e-06,0.01386356,8.33e-07,0.001122999,0.001416831,0.00240683,0.002287913,0.001185749,0.002209413,0.001174749,0.000668082,0.000470416,0.000242583
29,0.9734471,0.02649088,9.16e-07,0.01340848,8.33e-07,0.001082582,0.001359665,0.002409413,0.002277997,0.001202665,0.00220958,0.001167665,0.000668582,0.000482833,0.000219666
30,0.999938,0.03507662,1.5e-06,0.01834464,7.5e-07,0.001140915,0.001843748,0.003316245,0.002994413,0.001466081,0.002874496,0.001484081,0.000861249,0.000526416,0.000222083
31,1.035015,0.0269298,1e-06,0.01375998,5.83e-07,0.001092666,0.001354664,0.002529247,0.00227058,0.001193582,0.002194496,0.001166999,0.000669082,0.000477416,0.0002195
32,1.061944,0.02734579,9.17e-07,0.01407498,9.16e-07,0.001204415,0.001431915,0.002417497,0.002275913,0.001180499,0.002203663,0.001159082,0.000675916,0.000502416,0.000217666
33,1.08929,0.02848813,1.167e-06,0.01468448,7.5e-07,0.001116248,0.001411665,0.002407913,0.002278831,0.001193081,0.002209914,0.001558164,0.000859832,0.000521416,0.000244667
34,1.117778,0.03501203,1.334e-06,0.01819072,1e-06,0.001194165,0.001929081,0.003276245,0.002967246,0.001473415,0.002881329,0.001468331,0.000858249,0.000523083,0.000247833
35,1.15279,0.03049179,1.083e-06,0.01352415,1e-06,0.001074331,0.001944914,0.003265246,0.003132912,0.001520915,0.002915746,0.001468914,0.000864832,0.000558499,0.00021925
36,1.183282,0.02701405,1.083e-06,0.01382098,7.5e-07,0.001092248,0.001362082,0.002497163,0.002285663,0.001187165,0.002216331,0.001180498,0.000678666,0.000472082,0.000219333
37,1.210296,0.02776338,1e-06,0.01369215,8.33e-07,0.001172248,0.001549998,0.002415164,0.00236658,0.001191165,0.002206496,0.001554748,0.000873499,0.000519416,0.000220083
38,1.23806,0.04079194,1.25e-06,0.01533265,1e-06,0.001552164,0.00231458,0.005743659,0.003024996,0.00649799,0.002892496,0.001781498,0.000852332,0.000549833,0.000247499
39,1.278852,0.03435345,1.166e-06,0.01438731,9.17e-07,0.001082915,0.001418915,0.002400913,0.002357414,0.001189165,0.002211997,0.003518078,0.005064743,0.000496999,0.000222916
40,1.313205,0.04055611,1.083e-06,0.01502573,6.66e-07,0.001305082,0.001924664,0.003262579,0.00430666,0.008456322,0.003003496,0.001687914,0.000853499,0.000509166,0.000219249
41,1.353761,0.03243237,1.083e-06,0.01661614,1e-06,0.001165999,0.001363581,0.002637413,0.002339997,0.001186915,0.002213747,0.001167581,0.000760833,0.002727746,0.000250333
42,1.386193,0.02749204,1e-06,0.01440298,9.16e-07,0.001052582,0.001418915,0.00240733,0.002245247,0.001168082,0.00217933,0.001229581,0.000669499,0.0004725,0.000244083
43,1.413686,0.02711063,1.083e-06,0.01383265,8.33e-07,0.001076916,0.001361831,0.002396247,0.002425496,0.001187499,0.002258663,0.001175832,0.000669666,0.000505332,0.000218583
44,1.440796,0.02637555,1.083e-06,0.01319132,9.17e-07,0.001100415,0.001390498,0.00240383,0.002263913,0.001255582,0.002213497,0.001183248,0.000668166,0.000459916,0.000243166
45,1.467172,0.03332654,1.167e-06,0.01715848,1e-06,0.001276248,0.001278082,0.003209912,0.002925413,0.001484414,0.002881246,0.001476248,0.000863915,0.000550083,0.000220333
46,1.500498,0.03015946,1e-06,0.0132314,8.34e-07,0.001171998,0.001914164,0.003264912,0.002985746,0.001455414,0.003054329,0.001470332,0.000864165,0.000523499,0.000221667
47,1.530658,0.03079954,1.084e-06,0.01403398,9.17e-07,0.001074998,0.001878747,0.003422996,0.002951662,0.001475415,0.002891996,0.001466748,0.000860748,0.000519416,0.000220833
48,1.561457,0.02733363,1.083e-06,0.01426306,9.16e-07,0.001101332,0.001361332,0.00241258,0.002272246,0.001178165,0.002195164,0.001166415,0.000666499,0.000474333,0.000240499
49,1.588791,0.02680813,9.17e-07,0.01347198,9.16e-07,0.001096332,0.001360498,0.00241633,0.002269497,0.001195415,0.00220483,0.001168332,0.000667666,0.000709999,0.000245416
50,1.615599,0.03108546,9.16e-07,0.01424315,9.17e-07,0.001035332,0.00195133,0.003294662,0.003154163,0.001484831,0.002887412,0.001454498,0.000856916,0.000502082,0.00021925
51,1.646684,0.02732171,1.25e-06,0.01342348,8.33e-07,0.001226915,0.001414165,0.002404663,0.002907996,0.001190998,0.00220558,0.001176832,0.000668999,0.000477916,0.000222083
52,1.674006,0.02722479,1.083e-06,0.0140884,9.17e-07,0.001066665,0.001434415,0.002412329,0.002259914,0.001194915,0.00221608,0.001163582,0.000674832,0.000490333,0.000221333
53,1.701231,0.02699838,1.334e-06,0.01374415,7.5e-07,0.001186165,0.001419665,0.002412246,0.002296331,0.001184915,0.002209496,0.001177499,0.000665916,0.000480082,0.000219833
54,1.728229,0.03078604,1e-06,0.01372673,6.67e-07,0.001072915,0.001868664,0.003259912,0.003281162,0.001610998,0.002883996,0.001465248,0.000857749,0.000535499,0.0002215
55,1.759015,0.02699246,1.167e-06,0.01372773,1e-06,0.001090248,0.001526831,0.002424247,0.002254663,0.001200749,0.002207496,0.001166499,0.000670166,0.000480582,0.000241083
56,1.786008,0.02673396,1.25e-06,0.01359506,8.33e-07,0.001097249,0.001344581,0.002421247,0.002278163,0.001184249,0.002200913,0.001223332,0.000666415,0.000477916,0.00024275
57,1.812742,0.02706438,1e-06,0.01384856,7.5e-07,0.001172665,0.001431831,0.002418997,0.002272747,0.001190581,0.002195164,0.001156665,0.000668332,0.00048825,0.000218833
58,1.839806,0.02734579,1.083e-06,0.01414831,9.16e-07,0.001082665,0.001363082,0.00239883,0.002271163,0.001178249,0.002181997,0.001332831,0.000668332,0.000474,0.000244333
59,1.867152,0.03412295,1.5e-06,0.01739556,1e-06,0.001269082,0.001418914,0.003638245,0.002960329,0.001476915,0.002889913,0.001470248,0.000861832,0.000517499,0.000221916
60,1.901275,0.03031004,1.084e-06,0.01390698,9.17e-07,0.001102165,0.001926497,0.003275329,0.002928996,0.001462998,0.002888412,0.001438748,0.000679333,0.000475832,0.00022275
61,1.931585,0.02654155,1.166e-06,0.01342382,8.33e-07,0.001080582,0.001373165,0.002405913,0.00222783,0.001236165,0.00225408,0.001180499,0.000668249,0.000470749,0.0002185
62,1.958127,0.02718446,1.084e-06,0.0140139,9.16e-07,0.001070749,0.001426165,0.002403496,0.002255747,0.001268165,0.00221233,0.001167582,0.000666249,0.000477666,0.000220416
63,1.985311,0.02933246,1.083e-06,0.01377373,1.083e-06,0.001116332,0.001332415,0.002525579,0.003152246,0.001474831,0.002877746,0.001467248,0.000863166,0.000523249,0.00022375
64,2.014643,0.03036854,9.16e-07,0.01351456,9.16e-07,0.001137082,0.001919414,0.003257745,0.002926413,0.001458248,0.002878663,0.001457914,0.001104415,0.00049275,0.000219499
65,2.045012,0.02692621,1.083e-06,0.01379581,9.17e-07,0.001113582,0.001397248,0.002405413,0.00225783,0.001182165,0.002253414,0.001172165,0.000665749,0.000461416,0.000219416
66,2.071938,0.02626488,1.083e-06,0.01315457,7.5e-07,0.001034998,0.001426248,0.002416164,0.00225258,0.001263498,0.00218058,0.001161915,0.000662916,0.00047,0.000239583
67,2.098203,0.02810671,1e-06,0.01302665,7.5e-07,0.001029082,0.001440748,0.00242083,0.00275333,0.001478581,0.002883912,0.001460415,0.000869415,0.000521416,0.000220583
68,2.12631,0.0350287,1.333e-06,0.01837139,7.5e-07,0.001035499,0.001957914,0.003291245,0.002948996,0.001469748,0.002877912,0.001466915,0.000873665,0.00051575,0.000217583
